121
\n
PID : COMMAND
1 : /usr/lib/systemd/systemd
2 : [kthreadd]
3 : [rcu_gp]
4 : [rcu_par_gp]
6 : [kworker/0:0H]
8 : [mm_percpu_wq]
9 : [ksoftirqd/0]
10 : [rcu_sched]
11 : [migration/0]
12 : [watchdog/0]
13 : [cpuhp/0]
14 : [cpuhp/1]
15 : [watchdog/1]
16 : [migration/1]
17 : [ksoftirqd/1]
19 : [kworker/1:0H]
20 : [cpuhp/2]
21 : [watchdog/2]
22 : [migration/2]
23 : [ksoftirqd/2]
25 : [kworker/2:0H-kblockd]
27 : [kdevtmpfs]
28 : [netns]
29 : [kauditd]
31 : [khungtaskd]
32 : [oom_reaper]
33 : [writeback]
34 : [kcompactd0]
35 : [ksmd]
36 : [khugepaged]
37 : [crypto]
38 : [kintegrityd]
39 : [kblockd]
40 : [tpm_dev_wq]
41 : [md]
42 : [edac-poller]
43 : [watchdogd]
61 : [kswapd0]
154 : [kthrotld]
155 : [acpi_thermal_pm]
156 : [kmpath_rdacd]
157 : [kaluad]
159 : [ipv6_addrconf]
160 : [kstrp]
458 : [ata_sff]
461 : [scsi_eh_0]
463 : [scsi_tmf_0]
464 : [kworker/u6:2-events_unbound]
471 : [scsi_eh_1]
474 : [scsi_tmf_1]
475 : [scsi_eh_2]
477 : [scsi_tmf_2]
484 : [kworker/0:1H-kblockd]
485 : [kworker/2:1H-kblockd]
499 : [kworker/1:1H-kblockd]
543 : [kdmflush]
553 : [kdmflush]
591 : [jbd2/dm-0-8]
592 : [ext4-rsv-conver]
659 : [kworker/2:4-cgroup_destroy]
684 : /usr/lib/systemd/systemd-journald
712 : /usr/lib/systemd/systemd-udevd
772 : [kdmflush]
773 : [irq/18-vmwgfx]
774 : [ttm_swap]
799 : [jbd2/sda1-8]
800 : [ext4-rsv-conver]
803 : [xfsalloc]
804 : [xfs_mru_cache]
810 : [xfs-buf/dm-2]
811 : [xfs-conv/dm-2]
812 : [xfs-cil/dm-2]
813 : [xfs-reclaim/dm-]
814 : [xfs-log/dm-2]
815 : [xfs-eofblocks/d]
816 : [xfsaild/dm-2]
837 : /usr/bin/rpcbind
840 : /sbin/auditd
854 : [rpciod]
855 : [kworker/u7:0]
856 : [xprtiod]
869 : /usr/bin/lsmd
870 : /usr/sbin/irqbalance
871 : /usr/lib/polkit-1/polkitd
873 : /usr/sbin/smartd
874 : /usr/sbin/ModemManager
875 : /usr/sbin/mcelog
876 : /usr/bin/dbus-daemon
882 : /usr/sbin/sssd
883 : avahi-daemon:
885 : /sbin/rngd
888 : /usr/sbin/gssproxy
896 : avahi-daemon:
906 : /usr/libexec/sssd/sssd_be
907 : /usr/libexec/sssd/sssd_nss
910 : /usr/libexec/platform-python
917 : /usr/lib/systemd/systemd-logind
929 : /usr/sbin/NetworkManager
937 : /usr/sbin/sshd
938 : /usr/libexec/platform-python
1152 : /usr/lib/systemd/systemd-resolved
1162 : /usr/sbin/atd
1163 : login
1166 : /usr/sbin/crond
5388 : /usr/lib/systemd/systemd
5393 : (sd-pam)
5399 : -zsh
6477 : [kworker/u6:1-events_unbound]
6512 : [kworker/0:3-events]
6702 : [kworker/1:0-xfs-conv/dm-2]
6762 : [kworker/2:0-events]
6763 : [kworker/1:3-xfs-cil/dm-2]
6997 : [kworker/0:0-ata_sff]
7671 : [kworker/u6:0-events_unbound]
9678 : [kworker/1:1-xfs-cil/dm-2]
9679 : [kworker/0:1-ata_sff]
9893 : /bin/bash
9898 : ps
9899 : awk
